SR                     obs     bkg     bkg_err  S95_obs  S95_exp  
B137_8-9j_3b_350_600   36   53.2   7.4      10.8     18.2     
B138_8-9j_3b_350_1200  23   19.2   3.8      15.6     12.5     
B139_8-9j_3b_600_600   2    0.9    1.8      5.6      5.4      
B140_8-9j_3b_600_1200  2    3.6    2.3      4.6      5.4      
B141_8-9j_3b_850_850   0    1.1    2        2.9      3.2      
B142_8-9j_3b_850_1700  0    0.2    1.8      3.0      3.1      
B143_10j_0b_300_600    17     16.4   6.3      14.1     13.7     
B144_10j_0b_300_1200   20     20.8   8.8      15.4     16.0     
B145_10j_0b_350_600    12     13.6   3.8      9.3      10.2     
B146_10j_0b_350_1200   21     23.2   5.5      12.4     13.6     
B147_10j_0b_600_600    2      0.63   0.95     5.6      4.88     
B148_10j_0b_600_1200   6      3.6    2        8.8      7.1      
B149_10j_0b_850_850    0      0.1    2.4      3.0      3.1      
B150_10j_0b_850_1700   2      0.4    1.3      6.0      5.6      
B151_10j_1b_300_600    22     20.4   4.5      14.1     13.2     
B152_10j_1b_300_1200   18     19.2   5.7      12.7     13.3     
B153_10j_1b_350_600    9      17.1   3.8      6.0      10.1     
B154_10j_1b_350_1200   32     21.5   4.4      23.0     15.0     
B155_10j_1b_600_600    0      0.2    3.6      3.1      3.0      
B156_10j_1b_600_1200   3      2      1.5      6        5        
B157_10j_1b_850_850    0      0.1    3.2      3.0      3.2      
B158_10j_1b_850_1700   1      0.9    1.6      4.0      3.9      
B159_10j_2b_300_600    15     15.5   3.6      10.8     11.0     
B160_10j_2b_300_1200   11     14.4   3.8      8.0      10.0     
B161_10j_2b_350_600    11     19.5   3.5      6.2      10.9     
B162_10j_2b_350_1200   12     15.7   3.4      7.9      10.3     
B163_10j_2b_600_600    0      1.7    2.2      2.9      3.3      
B164_10j_2b_600_1200   0      1.2    1.2      3.0      3.3      
B165_10j_2b_850_850    0      0.1    2.4      2.9      3.0      
B166_10j_2b_850_1700   0      0.1    1.5      3.0      3.0      
B167_10j_3b_300_600    13     7.2    2.4      14.2     9.4      
B168_10j_3b_300_1200   5      5.6    2.4      6.8      6.8      
B169_10j_3b_350_600    3      2.2    1.7      6.3      5.6      
B170_10j_3b_350_1200   9      5.7    2.3      10.7     8.2      
B171_10j_3b_600_600    0      0.1    3        3.2      3.0      
B172_10j_3b_600_1200   1      0.2    1.4      4.4      4.4      
B173_10j_3b_850_850    0      0.1    2        3.1      2.9      
B174_10j_3b_850_1700   0      0.1    1.3      3.0      3.1    
