SR           obs     bkg     bkg_err  S95_obs  S95_exp  
2m2b3j       22      13.3    2.8      19.2     11.3     
2m2b4j       3       3.4     1.4      5.3      5.5      
2m2b5j       0       0.46    0.1      2.94     2.92     
2m2b6j       0       0.12    0.08     2.93     2.92     
2m3b         16      9.1     3.4      16.7     11.3     
2m3b1j       4       4.8     3        6.3      6.8      
2m3b2j       1       2.2     0.8      3.6      4.6      
2m3b3j       1       0.4     0.07     3.8      2.9      
2m4b         0       0.24    0.34     3.06     2.9      
2m4b1j       0       0.16    0.05     2.91     2.93     
3e           39      48      4.5      11       17       
3e1j         8       15.7    1.8      5.1      9.3      
3e2j         6       4.3     1        7.8      6.3      
3e3j         3       1.2     0.45     6.0      4.0      
3e4j         0       0.25    0.19     2.94     2.87     
3e1b         1       1.29    0.34     3.55     3.98     
3e1b1j       1       1       0.3      4        4        
3e1b2j       0       0.42    0.17     2.98     2.9      
3e1b3j       1       0.17    0.09     3.87     2.99     
3e2b         0       0.23    0.08     2.96     2.92     
3e2b1j       0       0.2     0.13     3.0      2.9      
3e2b2j       0       0.12    0.03     2.93     2.93     
1m2e         34      42.7    5.8      11.7     16.4     
1m2e1j       19      12.9    1.7      15.0     9.5      
1m2e2j       4       3.6     1.5      6.2      6.0      
1m2e3j       1       1.1     0.23     3.6      3.8      
1m2e4j       0       0.29    0.16     2.91     2.88     
1m2e1b       1       2.1     0.65     3.5      4.4      
1m2e1b1j     0       1.3     0.2      3.1      4.0      
1m2e1b2j     1       0.55    0.1      3.74     2.93     
1m2e1b3j     0       0.18    0.05     2.92     2.94     
1m2e2b       0       0.34    0.15     2.94     2.91     
1m2e2b1j     1       0.26    0.07     3.89     3.0      
1m2e2b2j     0       0.14    0.04     2.95     2.94     
1m2e2b5j     1       0.1     0.1      4.0      3.0      
2m1e         85      72      8        36       24       
2m1e1j       27      21      2.9      18       12       
2m1e2j       7       5.4     1.2      8.2      6.6      
2m1e3j       1       1.5     0.7      3.6      4.1      
2m1e4j       0       0.28    0.25     3.01     2.83     
2m1e1b       4       2.4     0.4      6.6      4.7      
2m1e1b1j     1       1.6     0.25     3.6      3.8      
2m1e1b2j     0       0.64    1        3.09     3.05     
2m1e1b3j     2       0.23    0.29     5.66     3.99     
2m1e2b       0       0.5     0.1      3.0      2.9      
2m1e2b1j     2       0.31    0.08     5.39     3.06     
2m1e2b2j     0       0.17    0.08     2.94     2.9      
3m           102     80      8        43       25       
3m1j         18      21.8    2.5      8.8      11.1     
3m2j         9       6.4     1.3      9.3      7.1      
3m3j         3       1.5     0.6      6.0      4.4      
3m4j         1       0.24    0.5      4.04     3.66     
3m5j         0       0.12    0.06     2.94     2.92     
3m1b         3       2.3     0.3      5.1      4.6      
3m1b1j       1       1.8     0.3      3.5      4.0      
3m1b2j       1       0.7     0.3      3.7      3.1      
3m1b3j       0       0.24    0.1      2.97     2.91     
3m1b4j       0       0.11    0.05     2.95     2.93     
3m2b         0       0.3     0.1      2.9      2.9      
3m2b1j       0       0.28    0.07     2.96     2.93     
3m2b2j       1       0.14    0.05     3.91     3.12     
4e           2       2.3     0.6      4.4      4.7      
4e1j         2       0.31    0.4      5.5      4.2      
4e1b         1       0.10    0.10     4.0      3.1     
1m3e         0       0.11    0.09     2.99     2.9      
2m2e         8       4.9     3.1      11.0     9.0      
2m2e1j       0       0.8     0.7      3.1      3.2      
2m2e2j       0       0.38    0.16     2.92     2.9      
2m2e1b       0       0.18    0.09     2.9      2.89     
2m2e1b1j     0       0.11    0.06     2.93     2.92     
3m1e2b       1       0.1     0.1      4.0      2.9      
4m           4       4.5     1.1      5.7      5.9      
4m1j         0       0.9     0.3      3.0      3.0      
4m2j         0       0.31    0.25     3.01     2.85     
1e1g         133     96      20       72       49       
1e1g1j       177     146     27       77       58       
1e1g2j       77      62      12       40       30       
1e1g3j       68      65      12       29       28       
1e1g4j       18      15.2    3.2      13.2     10.9     
1e1g5j       3       2.4     1        5.6      5.3      
1e1g6j       0       0.65    0.2      2.95     2.89     
1e1g7j       2       0.2     0.15     5.6      3.0      
1e1g1b       8       11.9    2        6.2      8.7      
1e1g1b1j     16      13.8    2.6      11.9     10.3     
1e1g1b2j     44      35      9        28       22       
1e1g1b3j     16      12.1    3.1      13.4     10.8     
1e1g1b4j     3       3.5     0.9      4.9      5.3      
1e1g1b5j     1       0.8     0.3      3.7      3.2      
1e1g2b       2       3       1        4        5        
1e1g2b1j     15      16.7    4.3      10.5     11.4     
1e1g2b2j     11      7.8     2.6      11.4     9.2      
1e1g2b3j     3       2.7     0.8      5.4      5.3      
1e1g2b4j     1       0.5     0.2      3.7      3.1      
1e1g2b5j     0       0.1     0.05     3.0      2.9      
1e1g3b       2       0.7     0.3      5.0      3.4      
1e1g3b1j     1       0.7     0.2      3.6      3.0      
1e1g3b2j     0       0.3     0.12     3.0      2.9      
1e1g3b3j     0       0.14    0.07     2.94     2.95     
1e2g         0       0.7     0.2      3.0      2.9      
1e2g1j       1       0.54    0.22     3.68     3.05     
1e2g2j       0       0.24    0.12     2.94     2.93     
1e2g3j       0       0.19    0.1      2.95     2.9      
1e2g1b1j     0       0.14    0.1      2.91     2.88     
1e2g1b2j     0       0.18    0.07     2.92     2.91     
1m1g         75      63      13       39       31       
1m1g1j       102     83      19       54       41       
1m1g2j       41      34.5    7        23.5     19.2     
1m1g3j       46      45      9.4      22       21       
1m1g4j       5       11.4    2.4      4.6      8.2      
1m1g5j       4       2.1     0.5      6.8      4.7      
1m1g6j       1       0.38    0.13     3.81     3.06     
1m1g1b1j     11      9       1.9      10       8        
1m1g1b       5       7.7     1.6      5.2      7.2      
1m1g1b2j     30      30      9        19       19       
1m1g1b3j     12      11      2.6      10       9        
1m1g1b4j     3       2.8     0.8      5.4      5.1      
1m1g1b5j     0       1       0.36     3        3        
1m1g2b       3       1.9     1        6.0      5.0      
1m1g2b1j     19      14.4    5.1      16.7     13.6     
1m1g2b2j     3       7.5     2.1      4.2      7.1      
1m1g2b3j     2       2.2     0.7      4.5      4.8      
1m1g2b4j     0       0.7     0.25     3.0      3.0      
1m1g2b5j     0       0.12    0.07     2.9      2.94     
1m1g3b       0       0.7     0.6      3.0      3.0      
1m1g3b1j     1       0.9     0.3      3.9      3.1      
1m1g3b2j     0       0.4     0.16     3.0      2.9      
1m2g         0       0.26    0.11     2.97     2.93     
1m2g1j       0       0.32    0.14     2.92     2.93     
1m2g3j       0       0.24    0.1      2.96     2.9      
1m2g1b2j     0       0.12    0.05     2.95     2.95     
2e1g         106     88      20       55       42       
2e1g1j       39      34.4    7.9      22.5     19.6     
2e1g2j       10      8.1     1.7      9.4      7.8      
2e1g3j       0       2.3     0.6      3.0      4.5      
2e1g4j       0       0.45    0.14     2.96     2.91     
2e1g5j       0       0.11    0.06     2.94     2.91     
2e1g1b       4       3.6     0.8      6.1      5.5      
2e1g1b1j     2       2.5     0.5      4.4      4.8      
2e1g1b2j     0       0.9     0.3      3.0      3.0      
2e1g1b3j     0       0.16    0.07     2.96     2.93     
2e1g2b       1       0.9     0.4      3.8      3.3      
2e1g2b1j     1       0.38    0.13     3.78     3.03     
2e1g3b       1       0.1     0.1      4.0      3.1      
2e2g         0       0.3     0.1      3.0      2.9      
1m1e1g       1       0.9     0.4      3.8      3.3      
1m1e1g1j     1       0.9     0.1      3.7      3.0      
1m1e1g2j     0       0.4     0.3      3.0      2.9      
1m1e1g3j     0       0.3     0.12     3.0      2.9      
1m1e1g1b     0       0.9     0.7      3.0      3.2      
1m1e1g1b1j   0       0.8     0.3      3.1      3.0      
1m1e1g1b2j   0       0.9     0.3      3.0      3.0      
1m1e1g1b3j   0       0.19    0.08     2.97     3.1      
1m1e1g1b4j   1       0.1     0.1      4.0      3.0      
1m1e1g2b     1       0.46    0.28     3.51     3.15     
